title | rating
Rain | 8.1
Reconciliation: Mandela's Miracle | 8.1
Rock'n'roll... Of Corse! | 8.1
Romans d'ados 2002-2008: 3. Les illusions perdues | 8.1
Shutter Island | 8.1
Super | 8.1
Taylor Camp | 8.1
Telling Amy's Story | 8.1
That Side of a Shadow | 8.1
The 4th Wall | 8.1
The Convoys of Shame | 8.1
The Disappearance of Haruhi Suzumiya | 8.1
The Light Bulb Conspiracy | 8.1
The Mummerman | 8.1
The Night Cook | 8.1
The Parasomniac | 8.1
The Protector | 8.1
The Way Between Two Points | 8.1
The Way I See It | 8.1
Um Dia na Vida | 8.1
Vakondok | 8.1
Vedam | 8.1
A Good Day to Die | 8.0
AU3 (Autopista Central) | 8.0
Action!!! | 8.0
Adventures of an Earthling | 8.0
Alava tasir | 8.0
April 31st | 8.0
Argentina Fútbol Club | 8.0
Arquitetos do Poder | 8.0
Bedankt & Merci | 8.0
Beijing Punk | 8.0
Between Life and Death | 8.0
Beyond the Barbed Wire: An Artist View of the Holocaust | 8.0
Black Swan | 8.0
Bleed | 8.0
Buried Prayers | 8.0
Camera, Camera | 8.0
Ceské nebe | 8.0
Climate Refugees | 8.0
Corporate Fascism: The Destruction of America's Middle Class | 8.0
Disfarmer: A Portrait of America | 8.0
Earth Made of Glass | 8.0
Ei voor later | 8.0
El Bulli - Historia de un sueño | 8.0
Elite Squad: The Enemy Within | 8.0
Evaggelos Polemou | 8.0
Exit Through the Gift Shop | 8.0
Fair Game? | 8.0
Feathered Cocaine | 8.0
Focus: A Documentary | 8.0
Freaks Nerds & Romantics | 8.0
Gauguin à Tahiti et aux Marquises | 8.0
Gaza-strophe, Palestine | 8.0
Greening the Revolution | 8.0
Guess How Much I Love You: Friendship Adventures | 8.0
Guns, Drugs and Dirty Money | 8.0
Hollywood Don't Surf! | 8.0
I Am Kalam | 8.0
Ivanov | 8.0
Kenny Chesney: Summer in 3D | 8.0
Killing Us Softly 4: Advertising's Image of Women | 8.0
La Machina | 8.0
Leader | 8.0
Lullaby | 8.0
Mammoth: Titan of the Ice Age | 8.0
Mark | 8.0
Motherland | 8.0
My Name Is Khan | 8.0
Next Time Ned | 8.0
No Fun City | 8.0
ODC [Ordinary Decent Criminal] | 8.0
PAPA the Man, the Myth, the Legend New Project | 8.0
Paradise Hotel | 8.0
Power and Control: Domestic Violence in America | 8.0
Prokletstvo Krumpira | 8.0
Riot Acts: Flaunting Gender Deviance in Music Performance | 8.0
Rock On (A Documentary About Persian Rock) | 8.0
Sampaguita, National Flower | 8.0
Seguir siendo: Café Tacvba | 8.0
Spare Change | 8.0
Strangers Lovers Killers | 8.0
Strummerville | 8.0
Studien zum Untergang des Abendlands | 8.0
Takedowns and Falls | 8.0
Tanah air beta | 8.0
The Aurora Monsters: The Model Craze That Gripped the World | 8.0
The Cost of Living | 8.0
The Diary of the Cross Stealer | 8.0
The King's Speech | 8.0
The Last Shot | 8.0
The Last Steamship: The Search for the SS City of Medicine Hat | 8.0
The New Recruits | 8.0
The Sheffield Affair | 8.0
The Specials: 30th Anniversary Tour | 8.0
The Very Worst Thing | 8.0
The Weight | 8.0
Vinnaithaandi Varuvaayaa | 8.0
Vous êtes servis | 8.0
Waltz | 8.0
Wasted on the Young | 8.0
Wid Winner and the Slipstream | 8.0
Women of the Future | 8.0
Zimmer 202 - Peter Bichsel in Paris | 8.0
Árpád Pusztai - Whistleblower | 8.0
24h Marrakech | 7.9
A Fight for Survival | 7.9
ANPO: Art X War | 7.9
Amber Rose | 7.9
Ang paglilitis ni Andres Bonifacio | 7.9
Annabelle & Bear | 7.9
Ash | 7.9
Athlete | 7.9
Backyard | 7.9
Bad Writing | 7.9
Ballhawks | 7.9
Bill Cunningham: New York | 7.9
Bridge | 7.9
Broken Idyll | 7.9
Castles in the Sky | 7.9
Chasing Shadows | 7.9
Cielo senza terra | 7.9
Cinema Komunisto | 7.9
Colossi of Love | 7.9
Confession | 7.9
Cornhole: The Movie | 7.9
Country School: One Room - One Nation | 7.9
Crossing the Ditch | 7.9
Dasdhunga | 7.9
Dazed in Doon | 7.9
Der Taktstock | 7.9
Do It Again | 7.9
Don't Mess with the IRS | 7.9
Electric Mind | 7.9
Ennui | 7.9
Etida | 7.9
Feindberührung | 7.9
Fiberglass and Megapixels | 7.9
Five No Budget Films | 7.9
Five Ways to Dario | 7.9
Gretchen Road Movie | 7.9
Gurbet - Fremde Heimat | 7.9
Il corridore | 7.9
Interno | 7.9
JoJo Baby | 7.9
Julius Caesar | 7.9
Kecoh betul | 7.9
Lamp Post Lane | 7.9
